C,gamma,kernel,accuracy,macro_f1,training_time
0.1,scale,rbf,0.6297872340425532,0.6296156007667736,234.71350288391113
0.1,scale,linear,0.9610942249240122,0.9463059535209795,37.956146240234375
0.1,auto,rbf,0.06808510638297872,0.02718103804575616,381.0135540962219
1.0,scale,rbf,0.9100303951367781,0.896751076307453,92.13012290000916
1.0,scale,linear,0.9562310030395137,0.9245203927478374,37.335471868515015
1.0,auto,rbf,0.5349544072948328,0.5478536109420463,216.43921613693237
10.0,scale,rbf,0.9671732522796352,0.9532422389097079,72.3009021282196
10.0,scale,linear,0.9531914893617022,0.9237196227056986,37.13588500022888
10.0,auto,rbf,0.8662613981762918,0.8635964323217833,80.88281607627869
